marque ,garantie générale ,durée ,garantie batterie (electrique),controle technique ,Vidange ,courroie de distribution ,extension possible 
Alfa Romeo,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui — jusqu'à 8 ans (Stellantis)
Alpine,3 ans ou 100 000 km,3 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui (payante)
Audi,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui (payante)
BMW,3 ans · km illimité,3 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui (payante)
BYD,6 ans ou 150 000 km,⭐ 6 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Non (incluse)
Chery / Omoda,5 ans ou 100 000 km,5 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Non
Citroën,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui — jusqu'à 8 ans (Stellantis)
Dacia,3 ans ou 100 000 km,3 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui — jusqu'à 7 ans (programme Zen)
DS,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui — jusqu'à 8 ans (Stellantis)
Fiat,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui — jusqu'à 8 ans (Stellantis)
Ford,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui (payante)
Geely,5 ans ou 100 000 km,5 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Non
Honda,3 ans ou 100 000 km,3 ans,—,5 ans ,10000,80000,Non
Hyundai,5 ans · km illimité,5 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Non (incluse)
Jaguar,3 ans · km illimité,3 ans,—,5 ans ,10000,80000,Non
Jeep,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui — jusqu'à 8 ans (Stellantis)
Kia,7 ans ou 150 000 km,⭐ 7 ans,7 ans ou 150 000 km,5 ans ,10000,80000,Oui — jusqu'à 10 ans (EU)
Land Rover,3 ans ou 100 000 km,3 ans,—,5 ans ,10000,80000,Non
Leapmotor,5 ans ou 150 000 km,5 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Non
Lexus,3 ans ou 100 000 km,3 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui (programme Relax)
Mazda,3 ans ou 100 000 km,3 ans,—,5 ans ,10000,80000,Non
Mercedes,2 ans · km illimité,2 ans,10 ans ou 250 000 km,5 ans ,10000,80000,Oui — jusqu'à 4 ans ou 150 000 km
MG,6 ans ou 150 000 km,⭐ 6 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Non (incluse)
MINI,3 ans · km illimité,3 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui (payante)
Mitsubishi,5 ans ou 100 000 km,5 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Non
Nissan,3 ans ou 100 000 km,3 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Non
Opel,5 ans · km illimité,5 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui — jusqu'à 8 ans (Stellantis)
Peugeot,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui — jusqu'à 8 ans (Stellantis)
Renault,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui (payante)
Seat / Cupra,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui (payante)
Skoda,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui (payante)
Suzuki,3 ans ou 100 000 km,3 ans,—,5 ans ,10000,80000,Non
Toyota,3 ans ou 100 000 km,3 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui — jusqu'à 10 ans (programme Relax)
Volkswagen,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui (payante)
Volvo,2 ans · km illimité,2 ans,8 ans ou 160 000 km,5 ans ,10000,80000,Oui (payante)
